replication,mean_wait_hours,mean_system_hours,throughput_per_day,closed_bugs_total
1,0.0,3.682376716934293,9.233333333333333,277
2,0.0,3.5960097015181436,10.133333333333333,304
3,0.0,3.5118999058809823,9.9,297
4,0.0,3.7212130255231117,9.466666666666667,284
5,0.0,3.72089327744611,9.2,276
6,0.0,3.8914154593933103,9.6,288
7,0.0,3.7734044294081994,9.866666666666667,296
8,0.010184141393340706,3.764707899126489,11.433333333333334,343
9,0.0,3.5961352548920296,10.966666666666667,329
10,0.012643519329891505,3.5652725184210357,11.066666666666666,332
11,0.001811563003068846,3.8139722977270734,9.7,291
12,0.0,3.4974743802526054,11.433333333333334,343
13,0.0,3.7032910629141087,9.333333333333334,280
14,0.0004091985961575256,3.88819292548117,10.566666666666666,317
15,0.0,3.4319512041243954,10.233333333333333,307
16,0.0,3.7319403918939758,10.2,306
17,0.00019120467034449977,3.6294699620687303,11.0,330
18,0.021094831540656184,3.7945654963456596,9.033333333333333,271
19,0.0,3.8681531341883755,10.2,306
20,0.0,3.7846173223882666,9.9,297
21,0.0,3.760230640920573,10.866666666666667,326
22,0.0,3.8882463907868443,10.9,327
23,0.0017605447287512216,3.841944677743579,10.533333333333333,316
24,0.0,3.691613663002705,8.9,267
25,0.0006909602577403472,4.169885615443225,10.2,306
26,0.0002843122922090005,3.770669387405426,10.4,312
27,0.0,3.6756769795623594,10.466666666666667,314
28,0.002008770923885488,4.142448553360688,10.5,315
29,0.0031267481896798247,3.9212976171688867,10.666666666666666,320
30,0.0004973836974873739,3.549556597953641,9.333333333333334,280
31,0.0,3.748061576108922,9.466666666666667,284
32,0.0,3.7755986058746616,9.833333333333334,295
33,0.0008687548547452287,3.96820920988776,10.6,318
34,0.0,3.666725105965913,10.4,312
35,0.0,3.8418750948551565,9.866666666666667,296
36,0.0008274798323106517,3.5468817860051978,10.7,321
37,0.0001227303954148093,3.7482175702857505,10.833333333333334,325
38,0.0,3.6302677643234813,10.133333333333333,304
39,0.004216645136575241,3.7655871854876333,11.1,333
40,0.0,3.793068713671758,10.633333333333333,319
41,0.00036772236807094483,3.7449731727919553,10.366666666666667,311
42,0.0008191177234851322,3.66279709933749,10.3,309
43,0.0,3.6007082395314516,9.3,279
44,0.0063213036352517205,4.256049771622124,11.166666666666666,335
45,0.0020127290342753503,3.8684813369019966,11.233333333333333,337
46,0.0,3.759949650355303,10.366666666666667,311
47,0.02319172392924875,3.887987918810617,10.9,327
48,0.0,3.8985046915674464,9.866666666666667,296
49,0.009801929970311703,3.863552923793225,9.733333333333333,292
50,0.0,3.617716747761469,9.633333333333333,289
